,date_start,time_start,time_stop,branch_destination,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time,amount_prediction
0,2022-11-01,09:31:32,13:14:31,9.0,D01,1.0,4.0,COLF01,enragedLlama3,b7f9f3f96def6b866166,"SARUDIK,TAPANULI TEN",222.98333333333332,94728.08835964311
7,2022-11-02,07:47:42,08:06:28,47.0,D01,5.0,17.0,COLF01,decimalZebra7,2418d4e99633a437fb1c,"CIBITUNG,CIKARANG",18.766666666666666,157918.20176783728
8,2022-11-02,07:51:21,08:06:31,18.0,D01,1.0,20.0,COLF01,resolvedVenison5,9615a1f7267a2ee926b4,MALANG,15.166666666666666,172890.97546467805
9,2022-11-02,07:42:09,08:06:30,42.0,D09,13.0,5.0,COLF01,bubblyBobolink6,8746c36d8f36b2c1971d,MAKASAR,24.35,760331.4797639877
11,2022-11-02,08:04:14,08:06:35,28.0,D01,0.12,0.0,COLF01,pitifulMagpie9,79063a5594efcb9cd45d,"BTS ULU,MUARA BELITI",2.35,60854.65191733665
15,2022-11-02,08:05:19,08:06:38,29.0,D01,1.0,8.0,COLF01,jumpySyrup4,fdb56d556454b633a87e,"KETAPANG,SAMPANG",1.3166666666666667,180956.49909056388
16,2022-11-02,07:13:32,08:06:37,30.0,D04,8.0,14.0,COLF01,innocentCardinal0,eaab628650bcf78f90e9,"JAYAPURA UTARA,JAYAP",53.083333333333336,359042.5717236542
17,2022-11-02,07:07:25,08:06:35,27.0,D01,3.5,0.0,COLF01,finickyApples4,f861cf7237a4c8e598ad,"KELAPA LIMA,KUPANG",59.166666666666664,777131.4053894881
18,2022-11-02,07:18:37,08:06:35,27.0,D01,10.6,0.0,COLF01,guiltyDoughnut5,35244f2cab2e6236cb2d,"TAEBENU,OELAMASI",47.96666666666667,616477.0689918688
19,2022-11-02,07:33:47,08:06:42,23.0,D10,0.95,0.0,COLF01,ardentBagels1,672f030823f338f9f669,"BALIKPAPAN SELATAN,",32.91666666666667,216281.96605294393
20,2022-11-02,07:34:46,08:06:43,39.0,D01,1.0,0.0,COLF01,ardentRaisins8,c49f795bdf45bf6accd3,"DENPASAR SELATAN,DEN",31.950000000000003,214572.1502601424
21,2022-11-02,07:29:35,08:06:45,47.0,D01,2.3,0.0,COLF01,hushedChile5,742d72ba5b5f02d5f262,"TAMBUN SELATAN,CIKAR",37.166666666666664,80390.96522273541
23,2022-11-02,08:06:09,08:06:52,13.0,D01,0.09,0.0,COLF01,thrilledIcecream1,d5f6d11946f0b2543c61,"CILACAP UTARA,  CILA",0.7166666666666667,37803.516908275225
24,2022-11-02,07:25:00,08:06:55,23.0,D09,1.0,0.0,COLF01,betrayedThrushe6,799e5741d4e1232cf374,"BALIKPAPAN TENGAH, B",41.916666666666664,214509.46518691504
25,2022-11-02,07:56:57,08:06:55,32.0,D10,6.5,0.0,COLF01,unhappyLard0,bc831bab69e445671318,"TELUK AMBON BAGUALA,",9.966666666666667,311370.2108171745
26,2022-11-02,07:14:02,08:06:48,33.0,D01,1.0,3.0,COLF01,peskyHeron1,e1494ecd49870664e5a7,BANJARMASIN SELATAN,52.766666666666666,197757.41511580316
29,2022-11-02,07:20:33,08:06:46,35.0,D01,1.0,14.0,COLF01,vengefulBaboon1,217f98aaa4c09a48c08f,"SUKARAJA,KAB.BOGOR",46.21666666666667,163083.32219332684
32,2022-11-02,08:06:27,08:06:49,33.0,D10,3.6,0.0,COLF01,gutturalCurlew4,44d10a231d99ccf44ffc,BANJARBARU,0.36666666666666664,163416.11363995867
34,2022-11-02,07:18:18,08:06:51,35.0,D10,5.6,0.0,COLF01,sincereWhiting9,7e55d7e48f513eadf594,"BOGOR UTARA, BOGOR",48.55,154775.45614571637
37,2022-11-02,07:03:58,08:08:25,49.0,D01,1.0,0.0,COLF01,sadEland9,eefc6b5923753f266d35,"TERNATE TENGAH,TERNA",64.45,240787.83241005611
38,2022-11-02,07:15:13,08:08:25,43.0,D01,3.0,0.0,COLF01,excitedIcecream0,cb0bb73f54bf19ddd604,"PERAK,KAB. JOMBANG",53.2,270819.05865564075
39,2022-11-02,08:10:56,08:12:06,28.0,U12,1.0,0.0,COLF02,madLocust5,a5f5117911e9ae357ae4,"LAHAT,KAB.LAHAT",1.1666666666666667,198152.9236408361
40,2022-11-02,07:41:46,08:12:04,27.0,D01,1.6,0.0,COLF01,kindTomatoe4,183d5f752395c3a4027b,"MALAKA TENGAH,ATAMBU",30.3,274078.22237956
43,2022-11-02,07:16:59,08:12:11,18.0,D01,10.0,0.0,COLF01,betrayedClam3,a0e5b3e35f204cf7a3d9,"SRENGAT,BLITAR",55.2,552721.2944342019
44,2022-11-02,07:41:46,08:12:04,27.0,D01,1.0,0.0,COLF01,kindTomatoe4,dfbaeacdc2f7222154f0,"MALAKA TENGAH,ATAMBU",30.3,214022.02527101865
45,2022-11-02,07:26:13,08:12:11,27.0,D10,5.0,19.0,COLF01,grumpyHyena6,fd56d7a645382f26e78e,"KELAPA LIMA,KUPANG",45.96666666666667,737571.1075089952
46,2022-11-02,08:11:07,08:12:08,35.0,U12,1.0,3.0,COLF02,lyingChowder2,fa0d6a64fa2a206e170d,"CIJERUK,KAB.BOGOR",1.0166666666666668,148642.37424831255
47,2022-11-02,07:36:45,08:11:59,38.0,D10,10.2,0.0,COLF01,outlyingOtter8,fb324bbe065ad8611ce1,"CAKRANEGARA, MATARAM",35.233333333333334,195420.96141894528
48,2022-11-02,07:53:27,08:12:01,23.0,D01,1.0,17.0,COLF01,madGnu3,a5a969d21947c803daa7,"BALIKPAPAN KOTA,BALI",18.566666666666666,119705.59759234195
49,2022-11-02,07:15:05,08:12:02,27.0,D01,9.5,0.0,COLF01,stressedPoultry6,a695f38469f04c41717e,"OEBOBO,KUPANG",56.95,637995.0050531724
50,2022-11-02,07:29:00,08:12:02,29.0,D01,1.0,7.0,COLF01,dreadfulSeafowl0,8a57d5dbb6fe2530a8e1,"BANGKALAN,KAB.BANGKA",43.03333333333333,168876.79162315495
51,2022-11-02,07:09:04,08:12:08,48.0,D09,0.8,0.0,COLF01,murkyCow4,3211be10c8eada58aaa0,"NEGLASARI , TANGERAN",63.06666666666668,146494.20170320763
52,2022-11-02,07:54:03,08:12:04,41.0,D01,1.0,10.0,COLF01,dreadfulPorpoise3,34cdf8c252e2e1d0619c,"TANGGETADA,KOLAKA",18.016666666666666,206247.85323076101
53,2022-11-02,07:29:36,08:12:17,47.0,D01,2.0,23.0,COLF01,hushedChile5,3513aa7744ab4db28db8,"TAMBUN SELATAN,CIKAR",42.68333333333333,107024.29173185879
54,2022-11-02,07:06:01,08:12:17,39.0,D10,1.0,0.0,COLF01,peskyLemur8,e223332d24410c0d3f01,"DENPASAR BARAT,DENPA",66.26666666666668,239183.0639155001
56,2022-11-02,07:01:11,08:12:16,33.0,D10,1.0,0.0,COLF01,brainyGarlic9,e63b568734cf74d1eec4,BANJARMASIN,71.08333333333333,210308.52092058913
58,2022-11-02,07:24:11,08:12:21,20.0,D01,1.0,5.0,COLF01,sheepishLizard0,53dd7170c55386ed00b3,"CINGAMBUL , MAJALENG",48.166666666666664,69566.13114052093
59,2022-11-02,07:01:11,08:12:16,33.0,D10,1.0,0.0,COLF01,brainyGarlic9,5b96e17ed20f927dd154,BANJARMASIN,71.08333333333333,210308.52092058913
60,2022-11-02,08:07:14,08:12:21,27.0,D10,14.0,24.0,COLF01,eagerDotterel5,f7fe10d9c72bc3215a6b,"SOE,KAB.TIMOR TENGAH",5.116666666666666,2511862.7804647703
61,2022-11-02,08:11:17,08:12:25,39.0,D04,4.5,0.0,COLF01,grudgingWidgeon4,38b21037492a61e9f249,"DENPASAR SELATAN,DEN",1.1333333333333333,183999.15703874195
62,2022-11-02,07:26:57,07:56:44,27.0,D01,1.0,17.0,COLF01,eagerMuesli9,728593446aa7f2241d6e,"BAJAWA,KAB.NGADA",29.783333333333335,208994.78661942662
63,2022-11-02,07:41:09,08:12:25,19.0,D01,2.0,0.0,COLF01,solemnPudding8,e5e70937c6d6fe43359f,"SAMBAS, KAB SAMBAS",31.26666666666667,235008.39500304172
64,2022-11-02,08:02:40,08:12:33,35.0,D04,1.0,3.0,COLF01,gleefulPoultry7,a649fafee6ea46937a5f,"CIBUNG BULANG,KAB.BO",9.883333333333333,140730.71445458004
65,2022-11-02,07:14:47,08:12:33,29.0,D01,11.25,0.0,COLF01,wakefulSeafowl1,cde2c7545239a6576d62,"JENU,TUBAN",57.766666666666666,286425.0369064056
66,2022-11-02,07:03:23,08:12:36,35.0,D09,1.85,0.0,COLF01,alertDove0,7dc8a11e5d742e1d6120,"BABAKAN MADANG,KAB.B",69.21666666666667,179280.83403268104
67,2022-11-02,08:02:40,08:12:33,35.0,D04,1.0,3.0,COLF01,gleefulPoultry7,fb80c18e23789f6cbf95,"CIBUNG BULANG,KAB.BO",9.883333333333333,140730.71445458004
68,2022-11-02,07:15:37,08:12:34,0.0,D04,1.8,0.0,COLF01,adoringSardines7,a332599c00215e7d40bd,"BAWEN, UNGARAN",56.95,109588.56758567451
69,2022-11-02,08:11:26,08:12:35,18.0,U05,0.6,0.0,COLF02,lyingMoth2,4f238541afe9e15629b8,"KLOJEN,MALANG",1.15,120495.08561528748
70,2022-11-02,07:30:15,08:12:37,33.0,D01,1.0,23.0,COLF01,jubilantSnail8,3c42d30dc46798ce3aa2,"BANJAR BARU UTARA,BA",42.36666666666667,283413.5114394441
71,2022-11-02,07:35:09,08:12:39,39.0,D01,1.0,3.0,COLF01,stressedSardines0,58f2c6008535f3bd8277,"BULELENG,SINGARAJA",37.5,217900.43947963614
72,2022-11-02,07:26:57,08:09:04,27.0,D01,1.0,0.0,COLF01,eagerMuesli9,cd42d72c9a552d95901c,"BAJAWA,KAB.NGADA",42.11666666666667,368271.3755839172
73,2022-11-02,07:12:55,08:12:42,35.0,D01,3.5,0.0,COLF01,mildPretzels7,72ac1fa8671a97282a58,"BOGOR BARAT, BOGOR",59.78333333333333,209818.33730110768
74,2022-11-02,07:23:01,08:12:14,27.0,D01,0.24,0.0,COLF01,pleasedTortoise8,c37686f228dfd19b41b7,"RINHAT,ATAMBUA",49.21666666666667,113388.65317207124
75,2022-11-02,07:18:18,08:08:58,35.0,D10,1.0,19.0,COLF01,sincereWhiting9,7b47e451aed990b4cfff,"BOGOR UTARA, BOGOR",50.666666666666664,146808.18328587263
76,2022-11-02,07:17:01,08:08:56,35.0,D07,1.3,0.0,COLF01,gloomyHawk4,090bfcb36e2c23d9df87,"TANAH SEREAL, BOGOR",51.916666666666664,246876.62311144927
78,2022-11-02,07:14:02,08:09:00,33.0,D01,1.0,12.0,COLF01,peskyHeron1,30817932f807b5dea185,BANJARMASIN SELATAN,54.96666666666667,185272.96426479286
79,2022-11-02,07:06:01,08:08:56,39.0,D10,1.0,0.0,COLF01,peskyLemur8,d89b01fcd0a02bd33b66,DENPASAR,62.91666666666667,229273.12769056138
80,2022-11-02,07:53:27,08:08:52,23.0,D01,0.27,0.0,COLF01,madGnu3,b3eacd7b6d909dd65990,"BALIKPAPAN SELATAN,",15.416666666666668,79212.83739975232
81,2022-11-02,07:18:18,08:08:58,35.0,D10,1.0,19.0,COLF01,sincereWhiting9,a60286267ea930dcdc10,"BOGOR UTARA, BOGOR",50.666666666666664,146808.18328587263
82,2022-11-02,08:04:10,08:09:06,0.0,D09,10.0,0.0,COLF01,bubblyOrange9,df2359886afcf6f22ab5,"PURWODADI,KAB.GROBOG",4.933333333333334,552632.2571557988
83,2022-11-02,07:30:06,08:09:12,19.0,U03,0.3,0.0,COLF02,insecureLollies7,1203792e96753baf226d,"PONTIANAK TENGGARA ,",39.1,94350.9256035644
84,2022-11-02,07:33:46,08:09:43,23.0,D04,6.0,0.0,COLF01,ardentBagels1,ba00492e7fe98b678648,"BALIKPAPAN SELATAN,",35.95,560828.7811535473
86,2022-11-02,07:19:41,08:09:45,54.0,D02,1.9,18.0,COLF01,gleefulCake6,fb5c114924fdf7964b16,"MAMPANG PRAPATAN,JKT",50.06666666666667,121584.99443324283
87,2022-11-02,07:23:03,08:09:45,48.0,D09,1.0,17.0,COLF01,pacifiedMagpie3,766f39e7676a67f3ec20,"CIPONDOH , TANGERANG",46.7,115155.19877341222
88,2022-11-02,08:02:51,08:09:41,0.0,U12,6.0,0.0,COLF02,hushedMoth8,247bde8139ed004cea9b,"PEJAWARAN,BANJARNEGA",6.833333333333333,244437.84808449628
89,2022-11-02,07:51:32,08:09:51,38.0,D09,2.0,21.0,COLF01,grudgingBagels4,0756f5e556707b2795ce,"SEKARBELA,MATARAM",18.316666666666666,257570.5732493873
90,2022-11-02,07:39:30,08:09:50,54.0,D04,0.41,0.0,COLF01,mereSheep3,aa151dc92ba439b5bbb9,"SETIABUDI ,JAKARTA S",30.333333333333332,136737.28323678696
91,2022-11-02,07:16:40,08:09:50,27.0,D09,4.0,0.0,COLF01,truthfulSausage8,33f72fe474cf14351a88,"ALAK,KUPANG",53.166666666666664,647832.7885878794
92,2022-11-02,07:16:40,08:09:50,27.0,D09,3.3,0.0,COLF01,truthfulSausage8,2b858d35c70aaa6cb987,"ALAK,KUPANG",53.166666666666664,740500.570974646
93,2022-11-02,07:16:40,08:09:50,27.0,D09,3.3,0.0,COLF01,truthfulSausage8,6cafd60f071b15d7a3e1,"ALAK,KUPANG",53.166666666666664,740500.570974646
94,2022-11-02,07:51:39,08:09:47,27.0,D01,1.0,18.0,COLF01,peskyTeal5,ab9797ee261f6f1ac5f1,"BOAWAE,MBAY",18.133333333333333,163240.35052243667
95,2022-11-02,07:00:46,08:09:52,18.0,D09,3.31,0.0,COLF01,awedApricots4,2a305424539d88dd9373,"SANANWETAN,BLITAR",69.1,431478.0211096576
96,2022-11-02,07:16:40,08:09:50,27.0,D09,11.0,0.0,COLF01,truthfulSausage8,5e07a012d9761bb26244,"ALAK,KUPANG",53.166666666666664,627701.0072923857
97,2022-11-02,07:40:26,08:10:37,34.0,D01,0.88,0.0,COLF01,shyMeerkat4,f3dec9b534347ff5e008,"TAMAN SARI,PANGKAL P",30.183333333333334,116808.98592793063
98,2022-11-02,07:19:10,08:10:37,35.0,D04,2.5,0.0,COLF01,gloomyHawk4,6161b5bc942667ad2e91,"TANAH SEREAL, BOGOR",51.45,268281.31694053696
99,2022-11-02,08:09:17,08:10:33,0.0,U01,1.0,0.0,COLF02,enragedCod6,5f3ecf2033b1dee997af,"PATI,KAB.PATI",1.2666666666666666,385265.7107509528
100,2022-11-02,07:40:16,08:10:40,51.0,D01,9.0,14.0,COLF01,fondLemur1,7e79a687782ad893775f,"SAGULUNG,BATAM",30.4,236106.36240104106
101,2022-11-02,08:10:25,08:10:43,35.0,D01,9.0,0.0,COLF01,guiltySardines1,ff84a98b065472cf1c76,"PARUNG,KAB.BOGOR",0.3,162480.96740328099
102,2022-11-02,07:09:36,08:10:40,33.0,D01,1.0,0.0,COLF01,amazedCod9,496c4fff524f0bd5ae6a,"BANJAR BARU UTARA,BA",61.06666666666668,185378.19903889232
104,2022-11-02,07:23:03,08:11:00,48.0,D01,4.65,0.0,COLF01,pacifiedMagpie3,57b110125f76672306b8,"CIPONDOH , TANGERANG",47.95,255691.5253602428
105,2022-11-02,07:51:42,08:09:05,35.0,U12,0.3,0.0,COLF02,sugaryCrackers2,b76acd01b649ef1530fe,"CIBINONG,BOGOR",17.383333333333333,106303.58409073652
106,2022-11-02,07:51:42,08:09:05,35.0,U12,0.02,0.0,COLF02,sugaryCrackers2,fb8f4d0477723d639aa7,"CIBINONG,BOGOR",17.383333333333333,52810.2947459511
107,2022-11-02,07:09:02,08:09:13,47.0,D01,6.51,0.0,COLF01,mereChough1,f456213f725065401e9a,"CIKARANG,KAB.BEKASI",60.18333333333333,206581.5780024829
108,2022-11-02,08:05:06,08:09:09,14.0,U12,5.29,0.0,COLF02,solemnEggs8,97d0c02174198262d742,"JEBRES,SOLO",4.050000000000001,363070.5420418523
109,2022-11-02,07:51:39,08:09:16,27.0,D01,0.2,0.0,COLF01,peskyTeal5,8b077493e153d49a77fc,"BOAWAE,MBAY",17.616666666666667,94309.76432405176
110,2022-11-02,08:08:30,08:09:04,34.0,D01,1.0,1.0,COLF01,curiousSwift3,85f9ccd438fa98201387,"SUNGAI SELAN,BANGKA",0.5666666666666667,148769.30779052203
111,2022-11-02,07:48:24,08:09:02,20.0,D01,0.75,0.0,COLF01,exactingSnipe3,29509da163f42d8b41f2,KUNINGAN,20.633333333333333,120961.83026763306
113,2022-11-02,07:48:24,08:09:02,20.0,D01,0.75,0.0,COLF01,exactingSnipe3,275a4782dec70eac3fda,KUNINGAN,20.633333333333333,120961.83026763306
114,2022-11-02,07:24:57,08:09:00,38.0,D10,1.0,0.0,COLF01,lyingPoultry6,98c2d426d581ee57a69e,MATARAM,44.05,220752.018777444
115,2022-11-02,07:44:51,08:09:01,54.0,D01,1.3,0.0,COLF01,truthfulTruffle6,40a875a695cd92ca5764,"GROGOL ,JAKARTA BARA",24.166666666666668,169379.63961156615
116,2022-11-02,07:05:33,08:09:25,39.0,D01,3.0,0.0,COLF01,stressedLion4,533c424beb8ba70b7918,"DENPASAR SELATAN,DEN",63.866666666666674,294617.5306086644
117,2022-11-02,08:08:24,08:10:02,1.0,U12,6.0,5.0,COLF02,annoyedQuiche5,02b0834802c29cb75ef6,PATI JAWA TENGAH,1.6333333333333333,264731.57747358305
118,2022-11-02,08:04:43,08:10:06,33.0,D01,1.0,26.0,COLF01,murkyMagpie8,a8bd6360c5647cf6c7a4,BANJARMASIN,5.383333333333334,267560.272064784
119,2022-11-02,07:40:31,08:10:04,27.0,D10,1.0,18.0,COLF01,exactingCordial2,e68c408190dff26b8f55,"OEBOBO,KUPANG",29.55,399290.7748296655
120,2022-11-02,07:04:33,08:10:04,35.0,D01,1.0,0.0,COLF01,puzzledBoa1,dd56a2b8fc5eba14d882,"BOGOR TIMUR, BOGOR",65.51666666666668,178095.12737364502
121,2022-11-02,08:02:01,08:09:07,54.0,D09,10.0,0.0,COLF01,scornfulWigeon8,07f073e1afc427026bfb,"KEMAYORAN ,JAKARTA P",7.1,238596.176365119
