,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
0,2022-11-01,2022-11-01,20:17:26,20:46:30,-6.9266078,109.7629103,685000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,13.0,CGK,COLF01,pacifiedLion0,4fe3b237c832ca4841a2,"BATANG ,KAB BATANG",29.066666666666666
1,2022-11-01,2022-11-01,08:41:07,12:33:48,-7.8761542,110.0339859,53500.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,1.3,CGK,COLF01,peacefulTacos6,08a4da25256affae8446,"PURWODADI,PURWOREJO",232.68333333333334
2,2022-11-01,2022-11-01,08:41:07,13:41:57,-7.8497773,109.999733,179500.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,3.0,CGK,COLF01,peacefulTacos6,2ff0dc469826158b7684,"PURWODADI,PURWOREJO",300.8333333333333
3,2022-11-01,2022-11-01,08:41:07,18:18:19,-7.710998,110.0037077,31815.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.625,CGK,COLF01,peacefulTacos6,331c172c2b383f774328,"PURWODADI,PURWOREJO",577.2
4,2022-11-01,2022-11-01,08:41:07,10:51:49,-7.8297416,110.0138869,144562.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,3.0,CGK,COLF01,peacefulTacos6,a9d53fa96c80baee8b23,"BAGELEN,PURWOREJO",130.70000000000002
5,2022-11-01,2022-11-01,08:41:07,19:34:44,-7.7066465,110.0231309,206610.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,2.5,CGK,COLF01,peacefulTacos6,67ec7d34b4f3adbf2895,"PURWODADI,PURWOREJO",653.6166666666667
6,2022-11-01,2022-11-01,12:00:28,20:46:03,-6.9266078,109.7629103,38200.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.7,CGK,COLF01,pacifiedLion0,2079aa99bda230940785,"KANDEMAN,BATANG",525.5833333333334
7,2022-11-01,2022-11-01,14:23:20,15:45:13,-6.9115881,109.7291414,33000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,0.04,CGK,COLF01,pacifiedLion0,b3975d6adb8e802c749b,"BATANG ,KAB BATANG",81.88333333333334
8,2022-11-01,2022-11-01,09:13:16,15:39:01,-7.6637309,109.7803235,65867.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.8,CGK,COLF01,giddyCockatoo1,ea26e88eaf27edd7885b,"BUTUH,PURWOREJO",385.75
9,2022-11-01,2022-11-01,09:13:16,15:36:44,-7.6632882,109.780821,26800.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,giddyCockatoo1,f53a4daf67534816dbd9,"BUTUH,PURWOREJO",383.46666666666664
10,2022-11-01,2022-11-01,09:13:16,15:39:01,-7.6637309,109.7803235,67440.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.38,CGK,COLF01,giddyCockatoo1,01bbc8e389df89acc162,"BUTUH,PURWOREJO",385.75
12,2022-11-01,2022-11-01,09:13:16,15:36:44,-7.6632882,109.780821,54000.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,giddyCockatoo1,f611f992e8252d599447,"BUTUH,PURWOREJO",383.46666666666664
13,2022-11-01,2022-11-01,09:13:16,15:36:44,-7.6632882,109.780821,42400.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.2,CGK,COLF01,giddyCockatoo1,2d2c00389adba544e900,"BUTUH,PURWOREJO",383.46666666666664
14,2022-11-01,2022-11-01,09:13:16,15:39:01,-7.6637309,109.7803235,34500.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.5,CGK,COLF01,giddyCockatoo1,0c5c5f1f397a06f7a0ac,"BUTUH,PURWOREJO",385.75
15,2022-11-01,2022-11-01,09:13:16,15:39:01,-7.6637309,109.7803235,55052.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.155,CGK,COLF01,giddyCockatoo1,57fb94b7a2f7b0cb5c99,"BUTUH,PURWOREJO",385.75
16,2022-11-01,2022-11-01,09:13:16,15:39:01,-7.6637309,109.7803235,43900.0,True,done,Delivery,MGL,Success,YANG BERSANGKUTAN,D01,0.1,CGK,COLF01,giddyCockatoo1,e9433041d76a60104e21,"BUTUH,PURWOREJO",385.75
17,2022-11-01,2022-11-01,11:33:41,16:27:41,-6.6233649,107.7302248,58446.0,True,done,Delivery,PWT,Success,YANG BERSANGKUTAN,D01,0.07,CGK,COLF01,holisticClam5,2aaaee87b2634699ce26,"SUBANG,KAB.SUBANG",294.0
