latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
-6.9266078,109.7629103,2022-11-01 20:17:26 +0700,2022-11-01 20:46:30 +0700,685000,True,pacifiedLion0,done,Delivery,4fe3b237c832ca4841a2,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,13,CGK,COLF01
-7.8761542,110.0339859,2022-11-01 08:41:07 +0700,2022-11-01 12:33:48 +0700,53500,True,peacefulTacos6,done,Delivery,08a4da25256affae8446,MGL,Success,"PURWODADI,PURWOREJO",YANG BERSANGKUTAN,D01,1.3,CGK,COLF01
-7.8497773,109.999733,2022-11-01 08:41:07 +0700,2022-11-01 13:41:57 +0700,179500,True,peacefulTacos6,done,Delivery,2ff0dc469826158b7684,MGL,Success,"PURWODADI,PURWOREJO",YANG BERSANGKUTAN,D01,3,CGK,COLF01
-7.710998,110.0037077,2022-11-01 08:41:07 +0700,2022-11-01 18:18:19 +0700,31815,True,peacefulTacos6,done,Delivery,331c172c2b383f774328,MGL,Success,"PURWODADI,PURWOREJO",YANG BERSANGKUTAN,D01,0.625,CGK,COLF01
-7.8297416,110.0138869,2022-11-01 08:41:07 +0700,2022-11-01 10:51:49 +0700,144562,True,peacefulTacos6,done,Delivery,a9d53fa96c80baee8b23,MGL,Success,"BAGELEN,PURWOREJO",YANG BERSANGKUTAN,D01,3,CGK,COLF01
-7.7066465,110.0231309,2022-11-01 08:41:07 +0700,2022-11-01 19:34:44 +0700,206610,True,peacefulTacos6,done,Delivery,67ec7d34b4f3adbf2895,MGL,Success,"PURWODADI,PURWOREJO",YANG BERSANGKUTAN,D01,2.5,CGK,COLF01
-6.9266078,109.7629103,2022-11-01 12:00:28 +0700,2022-11-01 20:46:03 +0700,38200,True,pacifiedLion0,done,Delivery,2079aa99bda230940785,SRG,Success,"KANDEMAN,BATANG",YANG BERSANGKUTAN,D01,0.7,CGK,COLF01
-6.9115881,109.7291414,2022-11-01 14:23:20 +0700,2022-11-01 15:45:13 +0700,33000,True,pacifiedLion0,done,Delivery,b3975d6adb8e802c749b,SRG,Success,"BATANG ,KAB BATANG",YANG BERSANGKUTAN,D01,0.04,CGK,COLF01
-7.6637309,109.7803235,2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700,65867,True,giddyCockatoo1,done,Delivery,ea26e88eaf27edd7885b,MGL,Success,"BUTUH,PURWOREJO",YANG BERSANGKUTAN,D01,0.8,CGK,COLF01
-7.6632882,109.780821,2022-11-01 09:13:16 +0700,2022-11-01 15:36:44 +0700,26800,True,giddyCockatoo1,done,Delivery,f53a4daf67534816dbd9,MGL,Success,"BUTUH,PURWOREJO",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
