task_created_time,task_completed_time
2022-11-01 20:17:26 +0700,2022-11-01 20:46:30 +0700
2022-11-01 08:41:07 +0700,2022-11-01 12:33:48 +0700
2022-11-01 08:41:07 +0700,2022-11-01 13:41:57 +0700
2022-11-01 08:41:07 +0700,2022-11-01 18:18:19 +0700
2022-11-01 08:41:07 +0700,2022-11-01 10:51:49 +0700
2022-11-01 08:41:07 +0700,2022-11-01 19:34:44 +0700
2022-11-01 12:00:28 +0700,2022-11-01 20:46:03 +0700
2022-11-01 14:23:20 +0700,2022-11-01 15:45:13 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:36:44 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:36:44 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:36:44 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 09:13:16 +0700,2022-11-01 15:39:01 +0700
2022-11-01 11:33:41 +0700,2022-11-01 16:27:41 +0700
2022-11-01 11:33:41 +0700,2022-11-01 16:18:54 +0700
2022-11-01 12:00:22 +0700,2022-11-01 19:20:28 +0700
2022-11-01 10:32:21 +0700,2022-11-01 16:00:35 +0700
2022-11-01 10:51:20 +0700,2022-11-01 15:23:51 +0700
2022-11-01 10:32:20 +0700,2022-11-01 17:40:21 +0700
2022-11-01 10:32:20 +0700,2022-11-01 12:57:40 +0700
2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700
2022-11-01 10:32:21 +0700,2022-11-01 19:55:23 +0700
2022-11-01 10:32:21 +0700,2022-11-01 13:08:58 +0700
2022-11-01 10:56:07 +0700,2022-11-01 11:31:02 +0700
2022-11-01 10:56:07 +0700,2022-11-01 15:44:24 +0700
2022-11-01 10:56:05 +0700,2022-11-01 14:13:11 +0700
2022-11-01 10:56:07 +0700,2022-11-01 16:28:27 +0700
2022-11-01 10:56:06 +0700,2022-11-01 14:54:32 +0700
2022-11-01 10:56:06 +0700,2022-11-01 14:21:57 +0700
2022-11-01 10:56:04 +0700,2022-11-01 13:17:57 +0700
2022-11-01 10:56:04 +0700,2022-11-01 12:19:23 +0700
2022-11-01 10:56:04 +0700,2022-11-01 12:44:26 +0700
2022-11-01 10:56:07 +0700,2022-11-01 15:56:59 +0700
2022-11-01 15:14:43 +0700,2022-11-01 15:23:12 +0700
2022-11-01 15:14:43 +0700,2022-11-01 15:23:33 +0700
2022-11-01 10:56:04 +0700,2022-11-01 13:15:43 +0700
2022-11-01 10:56:04 +0700,2022-11-01 12:04:34 +0700
2022-11-01 10:56:04 +0700,2022-11-01 12:21:23 +0700
2022-11-01 10:56:07 +0700,2022-11-01 15:12:47 +0700
2022-11-01 10:56:05 +0700,2022-11-01 14:07:52 +0700
2022-11-01 10:56:04 +0700,2022-11-01 13:11:16 +0700
2022-11-01 10:56:05 +0700,2022-11-01 13:52:20 +0700
2022-11-01 10:56:07 +0700,2022-11-01 15:27:55 +0700
2022-11-01 10:56:06 +0700,2022-11-01 14:52:42 +0700
2022-11-01 11:56:24 +0700,2022-11-01 14:46:15 +0700
2022-11-01 11:56:23 +0700,2022-11-01 20:33:24 +0700
2022-11-01 08:41:07 +0700,2022-11-01 14:39:27 +0700
2022-11-01 08:41:07 +0700,2022-11-01 12:41:25 +0700
2022-11-01 12:00:24 +0700,2022-11-01 15:57:53 +0700
2022-11-01 12:00:23 +0700,2022-11-01 19:08:42 +0700
2022-11-01 12:00:24 +0700,2022-11-01 19:04:19 +0700
2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700
2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700
2022-11-01 10:23:10 +0700,2022-11-01 20:35:43 +0700
2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700
2022-11-01 10:23:11 +0700,2022-11-01 20:31:13 +0700
2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700
2022-11-01 10:23:10 +0700,2022-11-01 20:31:13 +0700
2022-11-01 11:03:47 +0700,2022-11-01 19:34:19 +0700
2022-11-01 11:03:46 +0700,2022-11-01 17:45:55 +0700
2022-11-01 11:03:45 +0700,2022-11-01 19:05:01 +0700
2022-11-01 11:03:45 +0700,2022-11-01 15:02:58 +0700
2022-11-01 11:03:46 +0700,2022-11-01 19:38:45 +0700
2022-11-01 11:03:46 +0700,2022-11-01 17:59:43 +0700
2022-11-01 11:03:46 +0700,2022-11-01 17:03:23 +0700
2022-11-01 11:03:48 +0700,2022-11-01 14:30:49 +0700
2022-11-01 11:03:45 +0700,2022-11-01 17:45:55 +0700
2022-11-01 11:03:48 +0700,2022-11-01 15:39:00 +0700
2022-11-01 11:03:46 +0700,2022-11-01 17:45:55 +0700
2022-11-01 09:31:32 +0700,2022-11-01 13:14:31 +0700
2022-11-01 11:03:47 +0700,2022-11-01 17:45:55 +0700
2022-11-01 11:03:46 +0700,2022-11-01 19:41:17 +0700
2022-11-01 11:03:46 +0700,2022-11-01 15:39:00 +0700
2022-11-01 11:03:45 +0700,2022-11-01 19:36:52 +0700
2022-11-01 11:03:45 +0700,2022-11-01 17:45:55 +0700
2022-11-01 11:03:47 +0700,2022-11-01 17:03:23 +0700
2022-11-01 11:03:46 +0700,2022-11-01 17:03:23 +0700
2022-11-01 11:03:48 +0700,2022-11-01 17:45:55 +0700
2022-11-01 11:03:45 +0700,2022-11-01 19:36:52 +0700
2022-11-01 11:03:48 +0700,2022-11-01 19:33:26 +0700
2022-11-01 17:31:21 +0700,2022-11-01 18:14:57 +0700
2022-11-01 17:31:21 +0700,2022-11-01 18:21:25 +0700
2022-11-01 17:31:21 +0700,2022-11-01 18:15:40 +0700
2022-11-01 17:31:21 +0700,2022-11-01 18:16:30 +0700
2022-11-01 12:24:23 +0700,2022-11-01 12:25:21 +0700
2022-11-01 11:38:04 +0700,2022-11-01 19:08:51 +0700
2022-11-01 11:38:04 +0700,2022-11-01 11:41:38 +0700
2022-11-01 11:38:04 +0700,2022-11-01 11:41:38 +0700
2022-11-01 11:38:04 +0700,2022-11-01 13:07:29 +0700
2022-11-01 11:38:04 +0700,2022-11-01 12:29:25 +0700
2022-11-01 11:38:04 +0700,2022-11-01 19:35:24 +0700
2022-11-01 11:38:04 +0700,2022-11-01 11:56:34 +0700
2022-11-01 10:59:37 +0700,2022-11-01 11:29:29 +0700
2022-11-01 10:59:37 +0700,2022-11-01 11:37:44 +0700
2022-11-01 10:59:37 +0700,2022-11-01 17:06:27 +0700
2022-11-01 12:35:58 +0700,2022-11-01 14:27:57 +0700
2022-11-01 12:35:59 +0700,2022-11-01 16:47:29 +0700
2022-11-01 12:35:59 +0700,2022-11-01 16:09:35 +0700
2022-11-01 07:43:08 +0700,2022-11-01 12:40:32 +0700
2022-11-01 08:45:20 +0700,2022-11-01 15:50:54 +0700
2022-11-01 12:35:58 +0700,2022-11-01 16:26:22 +0700
2022-11-01 08:47:02 +0700,2022-11-01 10:37:00 +0700
2022-11-01 08:47:02 +0700,2022-11-01 11:09:59 +0700
2022-11-01 08:47:02 +0700,2022-11-01 12:23:51 +0700
2022-11-01 08:47:02 +0700,2022-11-01 12:02:59 +0700
2022-11-01 08:47:02 +0700,2022-11-01 10:37:19 +0700
2022-11-01 08:33:37 +0700,2022-11-01 09:08:55 +0700
2022-11-01 08:33:37 +0700,2022-11-01 09:28:10 +0700
2022-11-01 08:33:37 +0700,2022-11-01 10:05:57 +0700
2022-11-01 08:33:37 +0700,2022-11-01 18:36:29 +0700
2022-11-01 08:33:37 +0700,2022-11-01 09:43:47 +0700
2022-11-01 08:33:37 +0700,2022-11-01 13:28:55 +0700
2022-11-01 16:00:03 +0700,2022-11-01 17:01:35 +0800
2022-11-01 10:10:18 +0700,2022-11-01 12:15:42 +0700
2022-11-01 10:10:18 +0700,2022-11-01 16:40:15 +0700
2022-11-01 17:57:43 +0700,2022-11-01 21:14:34 +0700
2022-11-01 17:57:43 +0700,2022-11-01 21:15:21 +0700
2022-11-01 17:57:43 +0700,2022-11-01 21:14:56 +0700
2022-11-01 12:10:52 +0700,2022-11-01 14:41:35 +0700
