time_start,time_stop
20:17:26,20:46:30
08:41:07,12:33:48
08:41:07,13:41:57
08:41:07,18:18:19
08:41:07,10:51:49
08:41:07,19:34:44
12:00:28,20:46:03
14:23:20,15:45:13
09:13:16,15:39:01
09:13:16,15:36:44
09:13:16,15:39:01
09:13:16,15:39:01
09:13:16,15:36:44
09:13:16,15:36:44
09:13:16,15:39:01
09:13:16,15:39:01
09:13:16,15:39:01
11:33:41,16:27:41
11:33:41,16:18:54
12:00:22,19:20:28
10:32:21,16:00:35
10:51:20,15:23:51
10:32:20,17:40:21
10:32:20,12:57:40
10:32:21,13:08:58
10:32:21,19:55:23
10:32:21,13:08:58
10:56:07,11:31:02
10:56:07,15:44:24
10:56:05,14:13:11
10:56:07,16:28:27
10:56:06,14:54:32
10:56:06,14:21:57
10:56:04,13:17:57
10:56:04,12:19:23
10:56:04,12:44:26
10:56:07,15:56:59
15:14:43,15:23:12
15:14:43,15:23:33
10:56:04,13:15:43
10:56:04,12:04:34
10:56:04,12:21:23
10:56:07,15:12:47
10:56:05,14:07:52
10:56:04,13:11:16
10:56:05,13:52:20
10:56:07,15:27:55
10:56:06,14:52:42
11:56:24,14:46:15
11:56:23,20:33:24
08:41:07,14:39:27
08:41:07,12:41:25
12:00:24,15:57:53
12:00:23,19:08:42
12:00:24,19:04:19
10:23:10,20:31:13
10:23:10,20:31:13
10:23:10,20:35:43
10:23:11,20:31:13
10:23:11,20:31:13
10:23:10,20:31:13
10:23:10,20:31:13
11:03:47,19:34:19
11:03:46,17:45:55
11:03:45,19:05:01
11:03:45,15:02:58
11:03:46,19:38:45
11:03:46,17:59:43
11:03:46,17:03:23
11:03:48,14:30:49
11:03:45,17:45:55
11:03:48,15:39:00
11:03:46,17:45:55
09:31:32,13:14:31
11:03:47,17:45:55
11:03:46,19:41:17
11:03:46,15:39:00
11:03:45,19:36:52
11:03:45,17:45:55
11:03:47,17:03:23
11:03:46,17:03:23
11:03:48,17:45:55
11:03:45,19:36:52
11:03:48,19:33:26
17:31:21,18:14:57
17:31:21,18:21:25
17:31:21,18:15:40
17:31:21,18:16:30
12:24:23,12:25:21
11:38:04,19:08:51
11:38:04,11:41:38
11:38:04,11:41:38
11:38:04,13:07:29
11:38:04,12:29:25
11:38:04,19:35:24
11:38:04,11:56:34
10:59:37,11:29:29
10:59:37,11:37:44
10:59:37,17:06:27
12:35:58,14:27:57
12:35:59,16:47:29
12:35:59,16:09:35
07:43:08,12:40:32
08:45:20,15:50:54
12:35:58,16:26:22
08:47:02,10:37:00
08:47:02,11:09:59
08:47:02,12:23:51
08:47:02,12:02:59
08:47:02,10:37:19
08:33:37,09:08:55
08:33:37,09:28:10
08:33:37,10:05:57
08:33:37,18:36:29
08:33:37,09:43:47
08:33:37,13:28:55
16:00:03,16:01:35
10:10:18,12:15:42
10:10:18,16:40:15
17:57:43,21:14:34
17:57:43,21:15:21
17:57:43,21:14:56
12:10:52,14:41:35
12:10:52,13:49:44
13:08:14,15:25:51
10:01:57,14:15:50
10:01:57,15:38:14
10:01:57,13:03:58
10:01:57,11:19:50
10:01:57,17:46:51
10:01:57,14:56:07
12:10:52,17:35:36
10:01:57,14:51:32
10:01:57,13:45:42
10:01:57,18:14:03
10:01:57,18:43:29
10:01:57,14:36:22
11:59:39,13:55:43
15:44:26,16:17:47
12:31:12,19:12:55
12:31:13,13:13:58
10:05:54,12:38:06
10:05:54,16:00:13
10:05:54,10:57:02
12:31:13,14:51:11
12:31:12,13:53:11
12:31:12,12:54:13
12:31:12,17:41:47
12:31:13,13:10:52
12:31:13,14:10:58
10:05:55,12:38:06
10:05:55,15:35:04
10:05:55,11:17:52
10:05:54,15:57:36
10:05:55,15:35:04
10:05:55,10:57:02
10:05:55,11:08:45
10:05:55,16:00:13
12:31:12,13:47:15
10:01:57,14:26:38
10:01:57,11:53:49
12:31:13,17:42:39
11:59:39,20:35:19
11:59:39,20:37:56
11:59:39,14:13:27
12:31:12,13:37:49
12:31:13,19:13:19
10:05:55,12:38:06
10:38:46,10:52:16
08:16:31,14:27:51
08:16:31,14:35:30
08:16:31,14:33:10
08:16:32,09:52:27
08:16:31,14:34:23
08:16:31,14:34:23
08:16:31,14:35:30
08:16:30,14:33:50
08:16:30,14:33:10
08:16:30,14:34:55
08:16:31,14:30:34
08:16:31,14:25:47
08:16:31,14:28:04
08:16:31,14:26:45
08:16:31,14:33:50
08:16:31,14:25:33
08:16:31,14:35:30
08:16:31,09:52:27
08:16:31,09:52:27
08:16:31,14:26:30
08:16:31,09:54:52
08:16:31,14:31:37
08:16:31,14:27:22
08:16:30,14:33:10
08:16:30,14:25:13
08:16:30,14:33:10
08:16:30,14:34:23
12:02:46,14:39:19
08:16:31,14:33:10
08:16:31,14:31:49
08:16:31,14:32:34
08:16:31,17:55:02
08:16:31,09:57:04
08:16:30,09:51:52
08:16:31,14:33:10
08:16:31,14:26:16
08:16:31,14:34:55
08:16:31,17:55:24
08:16:31,14:32:02
08:16:31,14:33:10
08:16:31,09:56:49
08:16:31,14:27:35
08:16:32,14:38:41
08:16:31,14:28:19
08:16:31,14:26:02
08:16:31,14:31:18
08:16:31,14:27:08
08:16:31,14:31:02
08:16:32,14:38:59
08:06:30,11:15:31
08:06:30,11:17:12
08:06:30,11:13:58
08:06:30,17:42:22
10:32:19,18:28:19
10:32:19,13:14:00
10:32:19,19:34:27
10:32:20,15:13:00
10:32:20,18:40:24
10:32:20,13:19:17
10:32:20,13:58:10
10:32:19,18:28:19
10:32:19,18:16:48
10:32:20,18:45:05
10:32:20,16:15:33
10:32:20,18:49:40
14:46:09,15:06:38
10:18:24,13:31:16
10:18:24,12:15:05
10:18:24,14:22:53
10:18:24,13:14:39
10:18:24,14:11:17
07:41:16,11:05:33
07:41:16,11:23:42
07:41:16,16:02:42
16:09:43,16:10:49
11:34:53,16:21:38
11:34:55,13:39:30
11:34:55,13:48:11
11:34:55,13:51:41
11:34:56,14:00:24
11:34:54,13:12:28
20:16:54,20:26:29
12:05:23,18:21:25
12:05:22,18:18:41
12:05:23,16:02:45
09:13:07,10:37:01
09:13:07,12:12:20
08:31:33,10:09:37
08:31:32,11:23:53
08:31:33,09:39:07
08:31:33,12:32:57
08:31:33,11:11:45
08:31:33,10:09:37
08:31:32,11:43:44
08:31:32,10:09:37
08:31:33,11:23:53
08:31:33,11:23:53
08:31:33,11:23:16
08:31:32,09:28:59
08:31:33,12:32:57
08:31:33,12:32:57
08:31:33,09:39:07
08:31:33,11:23:53
08:31:32,09:16:06
08:31:32,11:43:44
08:31:33,09:12:05
07:57:44,15:57:19
07:57:44,09:21:04
07:57:44,18:09:57
07:57:43,15:56:54
12:04:22,17:11:43
07:57:44,09:51:27
08:53:27,10:13:26
11:37:40,13:16:36
08:53:28,10:05:46
11:37:41,14:32:25
11:37:40,13:05:35
08:26:45,12:33:37
08:26:45,14:32:34
08:26:44,14:37:34
08:26:45,11:22:25
08:26:45,12:33:37
08:26:45,13:31:16
08:26:44,13:14:39
08:26:45,12:24:56
08:26:45,15:05:41
08:26:45,14:37:34
08:26:45,12:24:56
08:26:44,12:15:05
12:04:56,14:48:48
12:04:57,14:32:06
12:04:56,17:06:31
12:04:57,15:04:00
12:04:56,16:55:25
08:26:45,11:37:49
08:26:45,11:54:41
08:26:45,11:18:22
12:04:56,14:11:28
12:04:57,18:27:03
12:04:56,15:04:00
12:04:56,18:24:03
12:04:56,15:08:43
12:04:56,14:18:39
09:16:59,10:43:24
09:16:59,11:07:28
09:16:59,10:51:20
08:26:45,14:53:30
08:26:44,14:32:34
08:26:45,14:11:17
08:26:44,14:11:17
08:26:44,12:24:56
08:26:45,11:18:22
08:26:45,12:24:56
08:26:44,14:22:53
08:26:44,13:14:39
08:26:45,15:05:41
08:26:44,12:33:37
08:26:45,14:11:17
08:26:45,13:19:50
08:26:45,11:18:22
08:26:45,15:22:24
08:26:45,11:18:22
15:01:19,16:38:16
18:35:17,18:36:08
09:55:02,15:26:10
09:55:02,15:26:33
10:30:19,11:56:58
10:30:19,10:31:18
10:30:19,14:10:15
10:30:19,12:21:14
10:30:19,11:06:32
10:30:19,21:43:09
10:30:19,14:50:31
10:30:19,11:01:36
10:30:19,11:04:11
10:30:19,16:26:16
16:29:26,18:39:57
10:30:19,10:31:07
16:29:26,18:39:57
10:30:19,10:31:29
11:21:13,12:58:41
11:21:13,13:59:40
11:21:13,12:29:15
10:30:19,12:29:45
09:00:32,18:29:44
10:30:19,21:43:32
18:20:44,18:21:56
08:10:18,10:09:20
08:10:18,10:09:20
08:10:18,09:55:06
08:10:18,11:24:35
08:10:18,11:24:35
08:10:18,11:24:35
08:10:18,11:24:35
11:47:06,22:30:10
11:47:06,22:27:22
11:47:05,22:30:10
08:55:56,14:28:50
18:18:17,18:23:22
18:18:17,18:23:22
18:18:17,18:23:22
12:55:09,14:19:46
07:24:05,09:10:28
07:24:05,16:39:45
10:01:08,13:28:15
10:58:36,15:14:58
10:58:35,14:48:59
10:58:37,17:38:52
10:58:35,13:08:37
10:58:35,14:15:32
10:58:36,15:18:10
10:58:35,13:00:10
10:58:35,13:08:37
10:58:37,17:45:19
10:58:37,17:24:30
10:58:37,17:53:12
10:01:08,13:28:15
10:58:36,15:18:10
10:58:34,11:46:54
10:58:36,15:48:56
10:58:35,14:06:47
10:58:34,12:40:14
10:58:37,17:08:10
10:58:37,16:33:35
10:58:37,17:17:55
09:47:05,11:14:53
09:47:05,12:11:49
09:47:05,11:29:32
09:47:05,11:46:17
09:47:05,11:06:40
09:47:05,11:17:56
10:08:36,14:33:51
08:46:43,13:29:05
08:46:43,12:38:08
08:46:43,12:31:45
08:46:43,12:58:49
08:46:43,10:09:12
10:08:37,14:32:46
10:08:37,14:33:51
10:08:37,12:02:54
10:08:37,15:19:05
10:08:37,12:02:08
10:08:37,12:02:08
10:08:37,12:02:08
16:43:34,17:21:43
11:21:12,11:24:43
11:21:12,13:46:25
11:21:12,17:17:30
14:48:18,17:02:07
10:10:33,17:42:41
10:10:33,16:06:24
10:10:33,15:29:15
10:10:33,13:15:10
10:10:33,12:46:45
10:10:31,11:14:59
10:10:32,16:26:53
11:21:12,12:12:08
16:18:34,16:25:59
10:16:53,12:10:23
10:16:56,11:37:46
10:16:57,13:39:03
10:16:53,11:59:49
10:16:54,16:01:35
10:16:57,13:38:26
10:16:54,13:30:59
10:16:53,12:03:52
10:16:55,14:22:54
10:16:54,14:29:52
10:16:55,11:10:23
10:16:54,14:22:54
10:16:57,12:37:08
10:16:54,14:34:02
10:16:54,14:29:52
10:16:56,16:03:32
10:16:55,13:37:55
10:16:56,11:13:06
10:16:55,12:18:47
10:16:57,16:29:30
10:16:57,16:29:30
10:16:53,12:11:28
10:16:57,16:16:57
10:16:53,12:04:49
10:16:55,12:18:47
10:16:57,13:38:26
10:16:54,15:09:42
10:16:53,11:59:49
10:16:55,14:23:44
10:16:54,11:23:43
10:16:54,14:35:01
10:16:54,13:27:56
10:16:55,13:43:31
10:16:54,14:35:01
10:16:55,11:23:21
10:16:55,12:13:14
10:16:54,13:41:26
10:16:56,11:51:37
10:16:53,12:10:56
10:16:55,13:23:57
10:16:55,11:53:59
10:16:54,14:41:03
17:27:19,17:37:14
10:16:55,13:53:12
17:27:19,17:35:39
10:16:54,13:37:32
10:16:53,12:05:14
10:16:54,12:32:38
10:16:55,12:32:38
10:16:53,12:06:12
10:16:53,12:06:35
10:16:55,14:22:54
10:16:54,12:18:47
10:16:53,12:03:26
10:16:54,13:28:30
10:16:55,11:48:42
17:27:19,17:36:08
10:16:54,11:23:43
10:16:55,12:21:33
10:16:55,16:30:21
17:27:19,17:35:14
09:34:10,10:45:47
09:34:10,10:55:55
13:52:25,16:40:43
13:52:25,16:41:01
09:34:10,11:00:07
13:52:25,16:39:02
09:34:10,10:08:32
09:00:42,14:42:05
09:00:41,13:13:45
09:00:42,13:07:53
09:00:41,13:01:34
09:00:41,10:50:26
07:24:04,16:44:34
07:24:05,16:48:09
07:24:04,14:09:00
07:24:05,16:39:29
07:24:04,16:45:26
07:24:04,16:42:48
07:24:04,16:43:45
07:24:04,16:45:10
07:24:04,16:44:51
07:24:04,16:43:05
07:24:04,16:47:36
07:24:04,09:43:38
07:24:04,16:43:27
07:24:04,16:47:52
07:24:05,16:48:31
09:47:09,18:29:44
17:20:29,17:20:44
07:24:04,16:46:59
07:24:05,16:48:51
07:24:04,16:46:09
08:35:18,11:35:04
08:35:18,14:42:22
08:35:18,14:33:32
08:35:20,14:42:22
08:35:17,13:15:10
08:35:18,13:57:25
08:35:18,15:45:31
08:35:18,12:33:30
08:35:17,15:49:16
08:35:19,15:44:06
08:35:18,16:54:02
08:35:18,14:38:11
08:35:18,16:09:33
08:35:18,12:31:05
08:35:18,16:35:56
08:35:18,11:28:13
08:35:18,16:30:15
08:35:19,13:39:50
08:35:17,15:01:10
08:35:20,12:35:32
08:35:17,16:14:58
08:35:18,12:02:37
08:35:18,15:58:50
08:35:20,14:42:38
08:35:20,14:42:38
08:35:20,14:55:59
09:23:37,12:44:43
